route,bicycling,driving_best_guess,transit,walking,best,origin_ine_code,destination_ine_code,workers_count
19024 - 28053,5342,1566,NA,16273,driving_best_guess,19024,28053,6
19024 - 28058,14800,3045,NA,51023,más de 30 min,19024,28058,11
19024 - 28059,6706,2115,NA,21242,más de 30 min,19024,28059,1
19024 - 28060,14220,3518,NA,48653,más de 30 min,19024,28060,1
19024 - 28061,19035,4061,NA,62255,más de 30 min,19024,28061,2
19024 - 28064,16420,3890,NA,53719,más de 30 min,19024,28064,1
19024 - 28065,12497,2909,NA,46387,más de 30 min,19024,28065,18
19024 - 28066,16199,3510,NA,58451,más de 30 min,19024,28066,1
19024 - 28068,20094,4302,NA,66610,más de 30 min,19024,28068,6
19024 - 28073,15598,3307,NA,53734,más de 30 min,19024,28073,1
19024 - 28074,13923,2957,NA,47148,más de 30 min,19024,28074,6
19024 - 28075,6822,1826,NA,23535,más de 30 min,19024,28075,8
19024 - 28079,11422,3034,NA,39086,más de 30 min,19024,28079,6
19024 - 28079-01,11509,3068,NA,39246,más de 30 min,19024,28079-01,25
19024 - 28079-02,12107,2519,NA,39629,más de 30 min,19024,28079-02,23
19024 - 28079-03,10781,2448,NA,36673,más de 30 min,19024,28079-03,26
19024 - 28079-04,10988,2791,NA,38501,más de 30 min,19024,28079-04,42
19024 - 28079-05,11474,2487,6317,39717,más de 30 min,19024,28079-05,38
19024 - 28079-06,11762,2875,NA,40342,más de 30 min,19024,28079-06,46
19024 - 28079-07,11705,2888,NA,40517,más de 30 min,19024,28079-07,32
19024 - 28079-08,12568,3138,NA,41719,más de 30 min,19024,28079-08,23
19024 - 28079-09,13574,2774,NA,43410,más de 30 min,19024,28079-09,28
19024 - 28079-10,13221,3001,NA,42230,más de 30 min,19024,28079-10,10
19024 - 28079-11,13364,2823,NA,43022,más de 30 min,19024,28079-11,11
19024 - 28079-12,12061,2717,NA,40496,más de 30 min,19024,28079-12,11
19024 - 28079-13,10873,2495,NA,37054,más de 30 min,19024,28079-13,11
19024 - 28079-14,10300,2261,NA,35459,más de 30 min,19024,28079-14,5
19024 - 28079-15,10597,2073,NA,37468,más de 30 min,19024,28079-15,36
19024 - 28079-16,10423,2105,NA,37636,más de 30 min,19024,28079-16,53
19024 - 28079-17,12383,2783,NA,42576,más de 30 min,19024,28079-17,18
19024 - 28079-18,9527,1945,NA,35308,más de 30 min,19024,28079-18,18
19024 - 28079-19,9040,2371,NA,32432,más de 30 min,19024,28079-19,8
19024 - 28079-20,9399,2163,NA,35211,más de 30 min,19024,28079-20,77
19024 - 28079-21,9222,2043,NA,33823,más de 30 min,19024,28079-21,46
19024 - 28080,16438,3108,NA,52915,más de 30 min,19024,28080,3
19024 - 28083,1940,854,NA,7013,driving_best_guess,19024,28083,81
19024 - 28084,7112,1817,NA,26247,más de 30 min,19024,28084,2
19024 - 28090,17800,4020,NA,58181,más de 30 min,19024,28090,1
19024 - 28092,16621,3314,NA,53283,más de 30 min,19024,28092,2
19024 - 28096,19419,3533,NA,64626,más de 30 min,19024,28096,2
19024 - 28104,7012,1918,NA,22426,más de 30 min,19024,28104,4
19024 - 28106,14059,3057,NA,51933,más de 30 min,19024,28106,3
19024 - 28113,12844,2717,NA,47575,más de 30 min,19024,28113,6
19024 - 28115,14927,2863,NA,47497,más de 30 min,19024,28115,9
19024 - 28123,9375,2345,NA,32378,más de 30 min,19024,28123,4
19024 - 28127,16929,3020,NA,51402,más de 30 min,19024,28127,7
19024 - 28129,10042,2376,NA,33331,más de 30 min,19024,28129,3
19024 - 28130,6990,1697,NA,24173,driving_best_guess,19024,28130,31
19024 - 28134,7969,2138,NA,26741,más de 30 min,19024,28134,15
19024 - 28137,3955,948,NA,11663,driving_best_guess,19024,28137,3
19024 - 28144,15508,3529,NA,45883,más de 30 min,19024,28144,1
19024 - 28148,5576,1675,NA,20666,driving_best_guess,19024,28148,49
19024 - 28154,6134,1732,NA,20811,driving_best_guess,19024,28154,4
19024 - 28156,2380,1258,NA,7281,driving_best_guess,19024,28156,2
